License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2212148,"DISTILLER ""A-1""",206,DA,Albany,2,ALBANY,OBOYS DISTILLING LLC,OLIGAN DISTILLING,918 ALBANY SHAKER RD,T/O LATHAM,LATHAM,NY,12110,898292,6/14/2018,6/14/2018,5/31/2021,42.76024,-73.81471,"(42.76024, -73.81471)"
2186745,"DISTILLER ""A-1""",206,DA,Albany,2,ALBANY,"ALBANY DISTILLING COMPANY INC, THE",,78 MONTGOMERY ST,,ALBANY,NY,12207,999999,11/9/2012,11/1/2018,10/31/2021,42.65435984,-73.74728906,"(42.65435984, -73.74728906)"
2200169,FARM BREWER,106,FD,Albany,2,ALBANY,HELDERBERG MOUNTAIN BREWING COMPANY LLC,HELDERBERG MOUNTAIN BREWING COMPANY LLC,141 WARNERS LAKE RD,SUITE 1,E BERNE,NY,12059,919434,9/17/2015,9/1/2019,8/31/2020,42.62974,-74.07867,"(42.62974, -74.07867)"
2214338,FARM BREWER,106,FD,Albany,2,ALBANY,FORT ORANGE BREWING CORPORATION,,450 N PEARL ST,,ALBANY,NY,12204,999999,1/17/2019,1/17/2019,8/31/2019,42.66704,-73.74332,"(42.66704, -73.74332)"
2198632,FARM BREWER,106,FD,Albany,2,ALBANY,INDIAN LADDER FARMSTEAD BREWERY AND CIDERY LLC,INDIAN LADDER FARMS CIDERY & BREWERY,342 ALTAMONT RD,UNIT E,ALTAMONT,NY,12009,908670,10/21/2015,10/1/2018,9/30/2019,42.6537,-73.9759,"(42.6537, -73.9759)"
2206822,FARM BREWER,106,FD,Albany,2,ALBANY,TABLE 41 BREWING COMPANY LLC,TABLE 41 BREWING COMPANY,4 DUNSBACH FERRY RD,GARAGE,COHOES,NY,12047,913640,3/3/2017,3/1/2019,2/29/2020,42.77253,-73.75437,"(42.77253, -73.75437)"
2199318,FARM BREWER,106,FD,Albany,2,ALBANY,HELDERBERG BREWERY INC,THE CARRIAGE HOUSE RESTAURANT,85 STONECROP RD,,RENSSELAERVILLE,NY,12147,910127,12/24/2015,12/1/2018,11/30/2019,42.52348,-74.14606,"(42.52348, -74.14606)"
2200653,FARM BREWER,106,FD,Albany,2,ALBANY,"REAL MCCOY LLC, THE",THE REAL MCCOY BEER CO,20 HALLWOOD RD,UNIT C,DELMAR,NY,12054,909068,11/9/2015,11/1/2018,10/31/2019,42.62341,-73.8318,"(42.62341, -73.8318)"
2213202,"FARM DISTILLER ""D""",207,DD,Albany,2,ALBANY,WINDHAM DISTILLERY LLC,,32 LEARNED ST,,ALBANY,NY,12207,898474,8/3/2018,8/3/2018,12/31/2019,42.66106,-73.74353,"(42.66106, -73.74353)"
2209901,"FARM DISTILLER ""D""",207,DD,Albany,2,ALBANY,OBOYS DISTILLING LLC,OLIGAN DISTILLING,918 ALBANY SHAKER RD,,LATHAM,NY,12110,898006,1/24/2018,3/8/2018,12/31/2020,42.76024,-73.81471,"(42.76024, -73.81471)"
2213969,"FARM DISTILLER ""D""",207,DD,Albany,2,ALBANY,NEW SCOTCH LLC,,78 MONTGOMERY ST,,ALBANY,NY,12207,910707,1/24/2019,1/24/2019,12/31/2021,42.65449,-73.7475,"(42.65449, -73.7475)"
2176085,"FARM DISTILLER ""D""",207,DD,Albany,2,ALBANY,"ALBANY DISTILLING COMPANY INC, THE",,78 MONTGOMERY ST,,ALBANY,NY,12207,999999,3/29/2012,11/1/2018,10/31/2021,42.65438046,-73.74735797,"(42.65438046, -73.74735797)"
2213897,FARM WINERY,302,FW,Albany,2,ALBANY,100 ACRE WOOD VINEYARD LLC,CLOVER POND VINEYARD,100 MARIPOSA LN,,ALTAMONT,NY,12009,910501,11/27/2018,11/27/2018,10/31/2021,42.72486,-73.96396,"(42.72486, -73.96396)"
2145408,FARM WINERY,302,FW,Albany,2,ALBANY,ALTAMONT VINEYARD & WINERY LLC,,3001 FURBECK RD,SCHOHARIE TPKE & SETTLES HILL,ALTAMONT,NY,12009,914858,5/15/2009,5/1/2019,4/30/2022,42.74029275,-74.08018934,"(42.74029275, -74.08018934)"
2000863,MICRO BREWER,101,MI,Albany,2,ALBANY,C H EVANS BREWING CO INC,ALBANY PUMP STATION,19 QUACKENBUSH STREET,AKA 76 MONTGOMERY ST,ALBANY,NY,12207,914545,4/17/2013,5/1/2019,4/30/2020,42.65446067,-73.74843391,"(42.65446067, -73.74843391)"
2206777,MICRO BREWER,101,MI,Albany,2,ALBANY,DRUTHERS BREWING COMPANY II INC,,1053 BROADWAY,,ALBANY,NY,12204,914202,4/20/2017,4/1/2019,3/31/2020,42.66597,-73.74164,"(42.66597, -73.74164)"
2208437,MICRO BREWER,101,MI,Albany,2,ALBANY,FORT ORANGE BREWING CORPORATION,,450 N PEARL ST,,ALBANY,NY,12204,902756,9/5/2017,9/1/2018,8/31/2019,42.66704,-73.74332,"(42.66704, -73.74332)"
2206171,MICRO BREWER,101,MI,Albany,2,ALBANY,PERFECT WORLD BREWING LLC,,1276 BROADWAY,REAR SUITE,ALBANY,NY,12204,913045,1/20/2017,1/31/2019,12/31/2019,42.67491,-73.73666,"(42.67491, -73.73666)"
2208952,RESTAURANT BREWER,210,MR,Albany,2,ALBANY,PHILLY BAR & GRILL LLC,PHILLY BAR & GRILL,622 WATERVLIET SHAKER RD,,LATHAM,NY,12110,897560,11/9/2017,11/9/2017,10/31/2020,42.73711,-73.76745,"(42.73711, -73.76745)"
2212959,WINERY,301,DW,Albany,2,ALBANY,WINDHAM VINEYARDS LLC,WINDHAM VINEYARDS AND WINERY,32 LEARNED ST,,ALBANY,NY,12207,903510,11/5/2018,11/5/2018,8/31/2019,42.66106,-73.74353,"(42.66106, -73.74353)"
2206996,WINERY,301,DW,Albany,2,ALBANY,ROYAL MEADERY LLC,,20 HALLWOOD RD - STE. 2,,DELMAR,NY,12054,895665,4/14/2017,12/1/2017,11/30/2020,42.62356,-73.83186,"(42.62356, -73.83186)"
3161198,FARM BREWER,106,FD,Buffalo,3,ALLEGANY,WELLSVILLE BREWING CO INC,WELLSVILLE BREWING COMPANY,104 N MAIN ST,,WELLSVILLE,NY,14895,918883,8/10/2018,8/1/2019,7/31/2020,42.12163,-77.94717,"(42.12163, -77.94717)"
1312335,FARM BREWER,106,FD,New York City,1,BRONX,TORCH & CROWN 704 BROADWAY LLC,,463 E 173RD ST,,BRONX,NY,10457,999999,12/24/2018,12/24/2018,11/30/2021,40.8418,-73.90156,"(40.8418, -73.90156)"
1271328,FARM BREWER,106,FD,New York City,1,BRONX,FARLO LLC,GUN HILL BREWING COMPANY,3227 LACONIA AVE,,BRONX,NY,10469,99999,10/3/2013,10/1/2018,9/30/2021,40.87213936,-73.85555125,"(40.87213936, -73.85555125)"
1265596,"FARM DISTILLER ""D""",207,DD,New York City,1,BRONX,PORT MORRIS DISTILLERY INC,,780 E 133RD ST,1ST FL,BRONX,NY,10454,885653,11/26/2012,11/1/2016,10/31/2019,40.80089048,-73.91345256,"(40.80089048, -73.91345256)"
1312333,MICRO BREWER,101,MI,New York City,1,BRONX,TORCH & CROWN 704 BROADWAY LLC,,463 E 173RD ST,,BRONX,NY,10457,999999,12/24/2018,12/24/2018,11/30/2021,40.8418,-73.90156,"(40.8418, -73.90156)"
1308776,MICRO BREWER,101,MI,New York City,1,BRONX,FARLO LLC,GUN HILL BREWING COMPANY,3227 LACONIA AVE,,BRONX,NY,10469,9999999,5/9/2018,10/1/2018,9/30/2021,40.87212,-73.85577,"(40.87212, -73.85577)"
1273115,MICRO BREWER,101,MI,New York City,1,BRONX,"BRONX BREWERY LLC, THE",,856 E 136TH ST,,BRONX,NY,10454,909304,1/30/2014,1/1/2019,12/31/2019,40.80224555,-73.91071904,"(40.80224555, -73.91071904)"
2208178,FARM BREWER,106,FD,Albany,2,BROOME,BEER TREE BREW CO LLC,BEER TREE BREW CO,197 STATE RTE 369,,PORT CRANE,NY,13833,999999,9/28/2017,9/1/2019,8/31/2022,42.17151,-75.83039,"(42.17151, -75.83039)"
2199361,"FARM DISTILLER ""D""",207,DD,Albany,2,BROOME,FRENCH DISTILLERS & ALCHEMISTS LLC,,10 WALKER AVE,,LISLE,NY,13797,917543,7/28/2015,5/3/2019,6/30/2022,42.35257,-76.00496,"(42.35257, -76.00496)"
2604659,FARM WINERY,302,FW,Albany,2,BROOME,LONE MAPLE FARM LLC,,2001 HAWLEYTON RD,,BINGHAMTON,NY,13903,887007,12/4/2006,12/1/2016,11/30/2019,42.06973103,-75.92295325,"(42.06973103, -75.92295325)"
2214802,MICRO BREWER,101,MI,Albany,2,BROOME,BEER TREE BREW CO LLC,BEER TREE BREW CO,197 STATE RTE 369,,PORT CRANE,NY,13833,99999,3/20/2019,9/1/2019,8/31/2022,42.1711,-75.83101,"(42.1711, -75.83101)"
2188448,MICRO BREWER,101,MI,Albany,2,BROOME,NORTH BREWERY LLC THE,THE NORTH BREWERY,110 WASHINGTON AVE,,ENDICOTT,NY,13760,911548,1/23/2013,1/1/2019,12/31/2019,42.10225167,-76.04817203,"(42.10225167, -76.04817203)"
2189976,MICRO BREWER,101,MI,Albany,2,BROOME,GALAXY BREWING COMPANY LLC,,41 COURT ST,,BINGHAMTON,NY,13901,919170,7/24/2013,7/1/2019,6/30/2020,42.09870498,-75.91385283,"(42.09870498, -75.91385283)"
2215273,RESTAURANT BREWER,210,MR,Albany,2,BROOME,AB BREWING LLC,WATER STREET BREWING CO,168 WATER ST,,BINGHAMTON,NY,13901,910993,5/10/2019,5/10/2019,4/30/2022,42.09935,-75.91408,"(42.09935, -75.91408)"
2205799,WINERY,301,DW,Albany,2,BROOME,INNOVATIVE BOTTLING INC,,116 BROWN ST,BUILDING 2,JOHNSON CITY,NY,13790,886415,2/16/2017,2/16/2017,1/31/2020,42.11843,-75.96149,"(42.11843, -75.96149)"
3159292,"DISTILLER ""A-1""",206,DA,Buffalo,3,CATTARAUGUS,STILLHOUSE OF BUFFALO LLC,,6600 RTE 219,,ELLICOTTVILLE,NY,14731,894993,10/25/2017,10/25/2017,9/30/2020,42.28596,-78.65914,"(42.28596, -78.65914)"
3162363,"FARM DISTILLER ""D""",207,DD,Buffalo,3,CATTARAUGUS,STILLHOUSE OF BUFFALO LLC,STEELBOUND BREWERY & DISTILLERY,6600 RTE 219,,ELLICOTTVILLE,NY,14731,99999,,5/9/2019,9/30/2020,42.28596,-78.65914,"(42.28596, -78.65914)"
3156645,"FARM DISTILLER ""D""",207,DD,Buffalo,3,CATTARAUGUS,ELLICOTTVILLE DISTILLERY LLC,,5462 ROBBINS RD,,ELLICOTTVILLE,NY,14731,914295,4/12/2016,4/1/2019,3/31/2022,42.31426,-78.61606,"(42.31426, -78.61606)"
3154447,MICRO BREWER,101,MI,Buffalo,3,CATTARAUGUS,S & W COMPANY LLC,ELLICOTTVILLE BREWING CO,28A MONROE ST,,ELLICOTTVILLE,NY,14731,912724,4/1/2014,4/1/2019,3/31/2020,42.2750462,-78.67074524,"(42.2750462, -78.67074524)"
3159294,MICRO BREWER,101,MI,Buffalo,3,CATTARAUGUS,STILLHOUSE OF BUFFALO LLC,,6600 RTE 219,,ELLICOTTVILLE,NY,14731,894994,10/25/2017,10/25/2017,9/30/2020,42.28596,-78.65914,"(42.28596, -78.65914)"
3155872,MICRO BREWER,101,MI,Buffalo,3,CATTARAUGUS,FOUR MILE BREWING LLC,,202 EAST GREEN ST,,OLEAN,NY,14760,914669,5/1/2015,5/1/2019,4/30/2020,42.07316,-78.42746,"(42.07316, -78.42746)"
3160569,MICRO BREWER,101,MI,Buffalo,3,CATTARAUGUS,S&W COMPANY LLC,ELLICOTTVILLE BREWING COMPANY,202 2ND ST,,LITTLE VALLEY,NY,14755,913937,5/17/2018,5/1/2019,4/30/2020,42.2498,-78.79359,"(42.2498, -78.79359)"
3147155,WINERY,301,DW,Buffalo,3,CATTARAUGUS,WINERY OF ELLICOTTVILLE LLC,,14 MONROE ST,,ELLICOTTVILLE,NY,14731,918007,6/1/2010,6/1/2019,5/31/2022,42.27594533,-78.67144075,"(42.27594533, -78.67144075)"
