"","ï..License.Serial.Number","License.Type.Name","License.Class.Code","License.Type.Code","Agency.Zone.Office.Name","Agency.Zone.Office.Number","County.Name..Licensee.","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","License.Certificate.Number","License.Original.Issue.Date","License.Effective.Date","License.Expiration.Date","Latitude","Longitude","Location"
"1",2212148,"DISTILLER ""A-1""",206,"DA","Albany",2,"ALBANY","OBOYS DISTILLING LLC","OLIGAN DISTILLING","918 ALBANY SHAKER RD","T/O LATHAM","LATHAM","NY",12110,898292,2018-06-14,2018-06-14,2021-05-31,42.76024,-73.81471,"(42.76024, -73.81471)"
"2",2186745,"DISTILLER ""A-1""",206,"DA","Albany",2,"ALBANY","ALBANY DISTILLING COMPANY INC, THE","","78 MONTGOMERY ST","","ALBANY","NY",12207,999999,2012-11-09,2018-11-01,2021-10-31,42.65435984,-73.74728906,"(42.65435984, -73.74728906)"
"3",2200169,"FARM BREWER",106,"FD","Albany",2,"ALBANY","HELDERBERG MOUNTAIN BREWING COMPANY LLC","HELDERBERG MOUNTAIN BREWING COMPANY LLC","141 WARNERS LAKE RD","SUITE 1","E BERNE","NY",12059,919434,2015-09-17,2019-09-01,2020-08-31,42.62974,-74.07867,"(42.62974, -74.07867)"
"4",2214338,"FARM BREWER",106,"FD","Albany",2,"ALBANY","FORT ORANGE BREWING CORPORATION","","450 N PEARL ST","","ALBANY","NY",12204,999999,2019-01-17,2019-01-17,2019-08-31,42.66704,-73.74332,"(42.66704, -73.74332)"
"5",2198632,"FARM BREWER",106,"FD","Albany",2,"ALBANY","INDIAN LADDER FARMSTEAD BREWERY AND CIDERY LLC","INDIAN LADDER FARMS CIDERY & BREWERY","342 ALTAMONT RD","UNIT E","ALTAMONT","NY",12009,908670,2015-10-21,2018-10-01,2019-09-30,42.6537,-73.9759,"(42.6537, -73.9759)"
"6",2206822,"FARM BREWER",106,"FD","Albany",2,"ALBANY","TABLE 41 BREWING COMPANY LLC","TABLE 41 BREWING COMPANY","4 DUNSBACH FERRY RD","GARAGE","COHOES","NY",12047,913640,2017-03-03,2019-03-01,2020-02-29,42.77253,-73.75437,"(42.77253, -73.75437)"
"7",2199318,"FARM BREWER",106,"FD","Albany",2,"ALBANY","HELDERBERG BREWERY INC","THE CARRIAGE HOUSE RESTAURANT","85 STONECROP RD","","RENSSELAERVILLE","NY",12147,910127,2015-12-24,2018-12-01,2019-11-30,42.52348,-74.14606,"(42.52348, -74.14606)"
"8",2200653,"FARM BREWER",106,"FD","Albany",2,"ALBANY","REAL MCCOY LLC, THE","THE REAL MCCOY BEER CO","20 HALLWOOD RD","UNIT C","DELMAR","NY",12054,909068,2015-11-09,2018-11-01,2019-10-31,42.62341,-73.8318,"(42.62341, -73.8318)"
"9",2213202,"FARM DISTILLER ""D""",207,"DD","Albany",2,"ALBANY","WINDHAM DISTILLERY LLC","","32 LEARNED ST","","ALBANY","NY",12207,898474,2018-08-03,2018-08-03,2019-12-31,42.66106,-73.74353,"(42.66106, -73.74353)"
"10",2209901,"FARM DISTILLER ""D""",207,"DD","Albany",2,"ALBANY","OBOYS DISTILLING LLC","OLIGAN DISTILLING","918 ALBANY SHAKER RD","","LATHAM","NY",12110,898006,2018-01-24,2018-03-08,2020-12-31,42.76024,-73.81471,"(42.76024, -73.81471)"
"11",2213969,"FARM DISTILLER ""D""",207,"DD","Albany",2,"ALBANY","NEW SCOTCH LLC","","78 MONTGOMERY ST","","ALBANY","NY",12207,910707,2019-01-24,2019-01-24,2021-12-31,42.65449,-73.7475,"(42.65449, -73.7475)"
"12",2176085,"FARM DISTILLER ""D""",207,"DD","Albany",2,"ALBANY","ALBANY DISTILLING COMPANY INC, THE","","78 MONTGOMERY ST","","ALBANY","NY",12207,999999,2012-03-29,2018-11-01,2021-10-31,42.65438046,-73.74735797,"(42.65438046, -73.74735797)"
"13",2213897,"FARM WINERY",302,"FW","Albany",2,"ALBANY","100 ACRE WOOD VINEYARD LLC","CLOVER POND VINEYARD","100 MARIPOSA LN","","ALTAMONT","NY",12009,910501,2018-11-27,2018-11-27,2021-10-31,42.72486,-73.96396,"(42.72486, -73.96396)"
"14",2145408,"FARM WINERY",302,"FW","Albany",2,"ALBANY","ALTAMONT VINEYARD & WINERY LLC","","3001 FURBECK RD","SCHOHARIE TPKE & SETTLES HILL","ALTAMONT","NY",12009,914858,2009-05-15,2019-05-01,2022-04-30,42.74029275,-74.08018934,"(42.74029275, -74.08018934)"
"15",2000863,"MICRO BREWER",101,"MI","Albany",2,"ALBANY","C H EVANS BREWING CO INC","ALBANY PUMP STATION","19 QUACKENBUSH STREET","AKA 76 MONTGOMERY ST","ALBANY","NY",12207,914545,2013-04-17,2019-05-01,2020-04-30,42.65446067,-73.74843391,"(42.65446067, -73.74843391)"
"16",2206777,"MICRO BREWER",101,"MI","Albany",2,"ALBANY","DRUTHERS BREWING COMPANY II INC","","1053 BROADWAY","","ALBANY","NY",12204,914202,2017-04-20,2019-04-01,2020-03-31,42.66597,-73.74164,"(42.66597, -73.74164)"
"17",2208437,"MICRO BREWER",101,"MI","Albany",2,"ALBANY","FORT ORANGE BREWING CORPORATION","","450 N PEARL ST","","ALBANY","NY",12204,902756,2017-09-05,2018-09-01,2019-08-31,42.66704,-73.74332,"(42.66704, -73.74332)"
"18",2206171,"MICRO BREWER",101,"MI","Albany",2,"ALBANY","PERFECT WORLD BREWING LLC","","1276 BROADWAY","REAR SUITE","ALBANY","NY",12204,913045,2017-01-20,2019-01-31,2019-12-31,42.67491,-73.73666,"(42.67491, -73.73666)"
"19",2208952,"RESTAURANT BREWER",210,"MR","Albany",2,"ALBANY","PHILLY BAR & GRILL LLC","PHILLY BAR & GRILL","622 WATERVLIET SHAKER RD","","LATHAM","NY",12110,897560,2017-11-09,2017-11-09,2020-10-31,42.73711,-73.76745,"(42.73711, -73.76745)"
"20",2212959,"WINERY",301,"DW","Albany",2,"ALBANY","WINDHAM VINEYARDS LLC","WINDHAM VINEYARDS AND WINERY","32 LEARNED ST","","ALBANY","NY",12207,903510,2018-11-05,2018-11-05,2019-08-31,42.66106,-73.74353,"(42.66106, -73.74353)"
"21",2206996,"WINERY",301,"DW","Albany",2,"ALBANY","ROYAL MEADERY LLC","","20 HALLWOOD RD - STE. 2","","DELMAR","NY",12054,895665,2017-04-14,2017-12-01,2020-11-30,42.62356,-73.83186,"(42.62356, -73.83186)"
"22",3161198,"FARM BREWER",106,"FD","Buffalo",3,"ALLEGANY","WELLSVILLE BREWING CO INC","WELLSVILLE BREWING COMPANY","104 N MAIN ST","","WELLSVILLE","NY",14895,918883,2018-08-10,2019-08-01,2020-07-31,42.12163,-77.94717,"(42.12163, -77.94717)"
"23",1312335,"FARM BREWER",106,"FD","New York City",1,"BRONX","TORCH & CROWN 704 BROADWAY LLC","","463 E 173RD ST","","BRONX","NY",10457,999999,2018-12-24,2018-12-24,2021-11-30,40.8418,-73.90156,"(40.8418, -73.90156)"
"24",1271328,"FARM BREWER",106,"FD","New York City",1,"BRONX","FARLO LLC","GUN HILL BREWING COMPANY","3227 LACONIA AVE","","BRONX","NY",10469,99999,2013-10-03,2018-10-01,2021-09-30,40.87213936,-73.85555125,"(40.87213936, -73.85555125)"
"25",1265596,"FARM DISTILLER ""D""",207,"DD","New York City",1,"BRONX","PORT MORRIS DISTILLERY INC","","780 E 133RD ST","1ST FL","BRONX","NY",10454,885653,2012-11-26,2016-11-01,2019-10-31,40.80089048,-73.91345256,"(40.80089048, -73.91345256)"
"26",1312333,"MICRO BREWER",101,"MI","New York City",1,"BRONX","TORCH & CROWN 704 BROADWAY LLC","","463 E 173RD ST","","BRONX","NY",10457,999999,2018-12-24,2018-12-24,2021-11-30,40.8418,-73.90156,"(40.8418, -73.90156)"
"27",1308776,"MICRO BREWER",101,"MI","New York City",1,"BRONX","FARLO LLC","GUN HILL BREWING COMPANY","3227 LACONIA AVE","","BRONX","NY",10469,9999999,2018-05-09,2018-10-01,2021-09-30,40.87212,-73.85577,"(40.87212, -73.85577)"
"28",1273115,"MICRO BREWER",101,"MI","New York City",1,"BRONX","BRONX BREWERY LLC, THE","","856 E 136TH ST","","BRONX","NY",10454,909304,2014-01-30,2019-01-01,2019-12-31,40.80224555,-73.91071904,"(40.80224555, -73.91071904)"
"29",2208178,"FARM BREWER",106,"FD","Albany",2,"BROOME","BEER TREE BREW CO LLC","BEER TREE BREW CO","197 STATE RTE 369","","PORT CRANE","NY",13833,999999,2017-09-28,2019-09-01,2022-08-31,42.17151,-75.83039,"(42.17151, -75.83039)"
"30",2199361,"FARM DISTILLER ""D""",207,"DD","Albany",2,"BROOME","FRENCH DISTILLERS & ALCHEMISTS LLC","","10 WALKER AVE","","LISLE","NY",13797,917543,2015-07-28,2019-05-03,2022-06-30,42.35257,-76.00496,"(42.35257, -76.00496)"
